x:   9.58, y:  12.81, z:    17.29
x: -12.54, y:  12.37, z:   123.14
x: -47.15, y:   0.45, z:   206.90
x:  38.41, y: -83.10, z:  -132.07
x: -29.28, y:  17.38, z:   105.12
x:  29.94, y:   0.79, z:  -305.11
x:  -3.63, y: -27.70, z:   172.85
x:  -0.87, y:  18.44, z: -1068.85
x: -30.16, y:  23.96, z:   -12.44
x:  13.02, y:   0.23, z:    -4.25
x:  -1.60, y: -27.10, z:  1981.20
x:  26.40, y:  10.07, z:  -499.09
x:  17.49, y:  18.92, z:    14.24
x:  -3.08, y:  11.00, z:   -22.79
x: -12.69, y:  20.80, z:   414.28
x:   0.29, y:  16.15, z:  -228.81
x:  25.55, y:  13.50, z:    -0.08
x:  -6.38, y:   6.53, z:   -12.16
x:   6.37, y:   6.26, z:    -5.11
x: -22.29, y: -12.28, z:   -25.24
x: -16.09, y:  12.72, z:   431.07
x: -14.89, y:   7.42, z:   349.24
x:  -3.63, y:  -7.31, z:     7.99
x:   4.14, y:  13.17, z:     0.10
x:  -8.96, y:  27.45, z:  -664.03
x:  -0.17, y:  -6.99, z:     8.59
x:  -7.28, y: -29.29, z: -1777.28
x:  11.14, y: -22.92, z:  1450.66
x:  -5.08, y:   6.19, z:   -36.05
x: -13.57, y:  -9.50, z:    83.06
x:  14.17, y:  -6.57, z:    19.94
x: -20.72, y:  -2.11, z:    -7.08
x:  13.32, y:  -6.47, z:   404.98
x: -16.14, y:  28.97, z:  -213.34
x: -21.45, y:  24.87, z:   172.57
x:  -4.98, y:   9.67, z:  -534.99
x: -61.37, y: -23.44, z:    69.37
x:   9.64, y:  18.21, z:  -328.26
x: -15.15, y:  -6.78, z:    28.43
x: -44.33, y:  22.86, z:   161.71
x:   1.78, y:   5.66, z:    57.88
x: -11.23, y:  -7.01, z:   107.40
x:  -3.46, y:  -0.48, z:    -3.90
x: -55.75, y:   3.96, z:     1.22
x:  -9.88, y:  -7.71, z:    -0.17
x: -14.50, y:  -1.30, z:   359.75
x:  -4.89, y: -10.26, z:   363.20
x:  12.22, y: -30.60, z:   183.47
x:   9.23, y: -33.84, z:   201.28
x:  54.81, y:  33.27, z: -2342.74
x: -16.40, y:  18.92, z:    41.60
x:  22.35, y:   2.02, z:   228.57
x:   8.38, y:  21.89, z:    16.25
x: -23.27, y:  -8.21, z:   175.43
x:   5.52, y:   6.29, z:    29.19
x:  -5.20, y:  -6.01, z:   187.63
x:  -9.11, y:  22.84, z:  1713.80
x:   2.61, y:  -3.21, z:    96.60
x:   9.48, y: -14.85, z:   904.52
x: -14.43, y: -18.49, z:  -115.64
x:  14.22, y:  21.84, z:    43.17
x:  21.35, y:   5.26, z:   -12.35
x: -41.87, y: -26.74, z:   -12.23
x: -17.30, y:  -2.56, z:    14.39
x:  24.15, y:   5.70, z:  -257.53
x:  -5.98, y:   7.36, z:     7.75
x:   5.29, y: -11.47, z:   -49.40
x:  -1.52, y:   3.69, z:   -81.22
x:   7.40, y:  -3.12, z:     8.45
x:   8.89, y:   3.25, z:    13.73
x:  -9.60, y:  -7.49, z:  -149.59
x:  -4.96, y:   6.49, z:   232.54
x:   6.87, y: -14.11, z:   676.84
x: -16.31, y: -36.07, z:  -259.46
x:  -0.07, y: -17.88, z:   381.96
x: -10.34, y:   2.16, z:    48.41
x:   5.62, y: -10.84, z:  -508.58
x: -34.54, y:  -1.10, z:    -4.60
x: -37.48, y:   6.40, z:  -646.05
x:  31.05, y:  17.41, z:   485.73
x:  -1.02, y:  -9.88, z:  -302.41
x: -50.87, y:  -5.21, z:  1036.08
x:   5.13, y:  19.50, z:   421.20
x:  41.15, y:  30.71, z:  -630.47
x:   6.12, y:  26.40, z:  -221.48
x:   4.23, y:  17.60, z:    46.73
x: -10.46, y:   6.44, z:  -547.76
x:   8.76, y:   0.97, z:    30.12
x:   9.96, y:  23.87, z:  1162.29
x: -29.10, y:   6.75, z:    15.36
x:   5.51, y:   7.76, z:  -167.62
x:   8.61, y:  11.47, z:    -4.15
x: -22.46, y: -34.62, z:  -157.32
x:  -4.43, y:  -0.57, z:   -21.07
x:  12.85, y:  21.96, z:  -540.52
x:  11.88, y:   1.80, z:   -60.31
x:   6.62, y: -16.16, z:     6.21
x: -17.11, y:  44.99, z:   -26.49
x:   0.73, y:  41.10, z: -1009.38
x:  -8.31, y:  -1.42, z:    95.30
x:  13.33, y:  -7.04, z:    61.06
x:  23.71, y:  14.48, z:   -31.41
x:   6.60, y:   2.46, z:     4.92
x:  46.25, y: -20.17, z:   570.64
x:  -0.50, y:  14.51, z:  -862.03
x:  -6.73, y:  -5.36, z:   -67.96
x:  11.92, y:  22.74, z:    65.27
x: -12.42, y:  -8.05, z:   -80.32
x:  33.15, y:  11.69, z:  1445.99
x:   5.24, y:  12.94, z:   -43.76
x:  -2.22, y:  -4.28, z:     0.55
x:  -1.93, y:   9.32, z:    -9.52
x:  -8.40, y: -13.01, z:   200.51
x:  23.18, y:   0.83, z:  -112.70
x: -35.03, y: -15.66, z:   246.49
x:  21.14, y:  34.14, z:   -84.34
x:  -2.64, y:  10.38, z:    17.38
x: -10.68, y:  -3.52, z:    26.12
x:  11.78, y: -38.12, z:  -207.91
x:  -3.14, y:  21.41, z:  -182.65
x:  13.63, y:   3.48, z:   -36.49
x:   6.35, y:   4.71, z:   404.18
x:  -1.91, y: -15.35, z:     2.76
x: -20.56, y: -27.22, z:    75.31
x:  10.49, y: -11.81, z:  -530.95
x:  -4.65, y:  27.63, z:   297.63
x:  10.14, y:  59.48, z:  -239.57
x:  13.51, y: -13.99, z:    -1.55
x:   6.42, y:  -1.72, z:    17.10
x: -22.36, y:  -1.59, z: -1640.53
x:  13.56, y:   7.53, z:  -321.57
x:   7.52, y:  18.29, z:    18.58
x: -19.16, y:  -9.84, z:    28.35
x:  -2.73, y: -36.27, z:    18.38
x:  -5.64, y:  11.96, z:  -124.97
x: -12.01, y:  14.43, z:   464.77
x:  18.82, y:  -6.91, z:     5.65
x: -21.36, y:  11.92, z:   116.87
x:  -6.68, y: -11.37, z:  -378.20
x:  28.91, y: -15.41, z:  -933.69
x: -16.19, y:  18.12, z:  -554.09
x:  24.79, y: -15.55, z:   184.36
x:  -7.00, y:  -8.59, z:   -21.20
x:  25.66, y:  15.06, z:   -62.97
x:  13.29, y:  -1.24, z:  -333.66
x:  -3.25, y: -20.45, z:    55.56
x:  -7.61, y:  -7.24, z:   -23.54
x:   0.01, y:  20.18, z:    20.80
x: -13.03, y:   6.58, z:  -133.87
x:  -9.47, y:   3.76, z:   -35.97
x:  10.93, y:   9.03, z:   673.78
x: -12.69, y:   8.08, z:   -41.95
x:  -0.26, y:  -7.82, z:   -17.61
x: -11.64, y: -23.16, z:  -387.86
x:  -6.49, y:  14.68, z:   -90.92
x:  11.59, y: -34.66, z:   -12.72
x:  -8.16, y:  11.88, z:    -1.77
x:  27.33, y:  -7.86, z:    57.46
x:  13.60, y:  14.12, z:  -285.89
x:  -8.43, y: -24.57, z:    19.23
x:  26.20, y:  -7.22, z:  1337.96
x:  13.41, y: -14.48, z:    -7.12
x: -23.03, y:  28.71, z:  -327.67
x:   9.62, y:   6.20, z:     8.99
x:  -4.36, y:  -5.31, z:  -127.88
x: -18.58, y:  -8.63, z:    97.81
x:   1.71, y:  -6.16, z:   -11.34
x:   0.29, y: -23.11, z:   103.70
x:  10.61, y:  -7.51, z:   630.38
x:  -8.06, y:  -3.10, z:    61.94
x:  23.26, y: -10.59, z:  -354.77
x:  -1.28, y: -10.83, z:   672.72
x:  -5.05, y:  12.22, z:   -11.69
x:  -3.88, y:  13.91, z:    95.05
x:   9.81, y:  -3.85, z:   -66.85
x:  -0.28, y:  11.28, z:   -76.89
x:  26.44, y: -12.74, z:   179.42
x:  10.87, y:  12.72, z:   146.83
x:   4.98, y:  10.50, z:   -23.53
x:   4.76, y: -16.47, z:     5.68
x: -17.91, y:  -6.94, z:   -20.69
x: -22.32, y:   9.76, z:   152.33
x: -14.13, y:  -1.58, z:   -52.49
x:   6.27, y:   4.09, z:   -59.27
x:  10.53, y:  15.13, z:   410.32
x:  12.17, y:  -3.50, z:     4.83
x: -18.61, y: -51.28, z:  1679.36
x: -20.38, y:  25.10, z:  -104.35
x:  -7.57, y:   6.19, z:    11.39
x:  21.59, y:  25.72, z:   157.99
x:  21.38, y:  -9.88, z:    33.72
x: -21.17, y:  39.91, z:   196.65
x:  -8.74, y:  -2.45, z:  -539.30
